ba_code,ba_name,timezone_reporting_eia930,timezone_local,us_ba,activation_date,retirement_date
LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,ETC/GMT+6,US/Eastern,Yes,,
MHEB,Manitoba Hydro,Canada/Central,Canada/Central,No,,
MISO,"Midcontinent Independent System Operator, Inc.",ETC/GMT+5,US/Central,Yes,,
NBSO,New Brunswick System Operator,Canada/Atlantic,Canada/Atlantic,No,,
NEVP,Nevada Power Company,US/Pacific,US/Pacific,Yes,,
NSB,Utilities Commission of New Smyrna Beach,US/Eastern,US/Eastern,Yes,,1/8/2020
NWMT,NorthWestern Corporation,US/Mountain,US/Mountain,Yes,,
NYIS,New York Independent System Operator,US/Eastern,US/Eastern,Yes,,
OVEC,Ohio Valley Electric Corporation,US/Eastern,US/Eastern,Yes,,12/1/2018
PACE,PacifiCorp East,US/Mountain,US/Mountain,Yes,,
PACW,PacifiCorp West,US/Pacific,US/Pacific,Yes,,
PGE,Portland General Electric Company,US/Pacific,US/Pacific,Yes,,
PJM,"PJM Interconnection, LLC",US/Eastern,US/Eastern,Yes,,
PNM,Public Service Company of New Mexico,US/Arizona,US/Mountain,Yes,,
PSCO,Public Service Company of Colorado,US/Mountain,US/Mountain,Yes,,
PSEI,"Puget Sound Energy, Inc.",US/Pacific,US/Pacific,Yes,,
SC,South Carolina Public Service Authority,US/Eastern,US/Eastern,Yes,,
SCEG,South Carolina Electric & Gas Company,US/Eastern,US/Eastern,Yes,,
SCL,Seattle City Light,US/Pacific,US/Pacific,Yes,,
SEC,Seminole Electric Cooperative,US/Eastern,US/Eastern,Yes,,
SEPA,Southeastern Power Administration,US/Central,US/Eastern,Yes,,
SOCO,"Southern Company Services, Inc. - Trans",US/Central,US/Central,Yes,,
SPA,Southwestern Power Administration,US/Central,US/Central,Yes,,
SPC,Saskatchewan Power Corporation,Canada/Central,Canada/Central,No,,
SRP,Salt River Project Agricultural Improvement and Power District,US/Arizona,US/Arizona,Yes,,
SWPP,Southwest Power Pool,US/Central,US/Central,Yes,,
TAL,City of Tallahassee,US/Eastern,US/Eastern,Yes,,
TEC,Tampa Electric Company,US/Eastern,US/Eastern,Yes,,
TEPC,Tucson Electric Power,US/Arizona,US/Arizona,Yes,,
TIDC,Turlock Irrigation District,US/Pacific,US/Pacific,Yes,,
TPWR,"City of Tacoma, Department of Public Utilities, Light Division",US/Pacific,US/Pacific,Yes,,
TVA,Tennessee Valley Authority,US/Central,US/Central,Yes,,
WACM,Western Area Power Administration - Rocky Mountain Region,US/Arizona,US/Mountain,Yes,,
WALC,Western Area Power Administration - Desert Southwest Region,US/Arizona,US/Arizona,Yes,,
WAUE,Western Area Power Administration - Upper Great Plains East,US/Mountain,US/Mountain,Yes,,10/1/2015
WAUW,Western Area Power Administration - Upper Great Plains West,US/Mountain,US/Mountain,Yes,,
WWA,"NaturEner Wind Watch, LLC",US/Mountain,US/Mountain,Yes,,
YAD,"Alcoa Power Generating, Inc. - Yadkin Division",US/Eastern,US/Eastern,Yes,,
